time;gFx;gFy;gFz;TgF
1,900212;0,0050;-0,0165;-0,0057;0,018
1,905138;0,0050;-0,0029;-0,0056;0,008
1,909795;-0,0080;-0,0028;-0,0057;0,010
1,924384;0,0057;-0,0027;-0,0057;0,008
1,925103;-0,0081;0,0109;-0,0057;0,015
1,925515;0,0055;-0,0027;0,0080;0,010
1,935203;0,0052;0,0101;0,0216;0,024
1,936101;0,0051;0,0101;0,0080;0,014
1,940231;-0,0085;-0,0035;0,0216;0,023
1,945071;0,0051;-0,0035;-0,0056;0,008
1,951332;-0,0079;0,0094;-0,0056;0,014
1,955332;-0,0079;0,0094;-0,0056;0,013
1,960684;0,0056;-0,0043;0,0080;0,011
1,965663;0,0192;0,0094;-0,0056;0,022
1,970240;0,0053;-0,0039;0,0080;0,010
1,975470;0,0053;-0,0039;-0,0056;0,009
1,981456;-0,0220;-0,0038;-0,0192;0,029
1,985726;0,0052;-0,0038;0,0080;0,010
1,990848;0,0049;0,0092;0,0080;0,013
1,995541;0,0048;0,0091;0,0080;0,013
2,000564;0,0048;0,0091;-0,0056;0,012
2,007071;-0,0088;-0,0045;-0,0056;0,011
2,011509;0,0045;-0,0043;-0,0192;0,020
2,018963;0,0044;-0,0178;-0,0056;0,019
2,023548;-0,0092;-0,0042;-0,0056;0,012
2,026476;-0,0092;-0,0178;0,0080;0,022
2,031320;-0,0085;-0,0039;0,0080;0,012
2,035621;0,0051;-0,0174;-0,0056;0,019
2,040935;-0,0221;-0,0038;-0,0056;0,023
2,045900;-0,0085;0,0098;-0,0056;0,014
2,051305;0,0048;-0,0035;0,0080;0,010
2,055921;-0,0089;0,0101;-0,0193;0,023
2,060838;0,0048;-0,0035;-0,0056;0,008
2,066170;0,0047;-0,0035;-0,0056;0,008
2,071473;-0,0082;0,0095;-0,0056;0,014
2,075950;0,0054;0,0094;-0,0192;0,022
2,081460;0,0054;0,0094;-0,0192;0,022
2,085985;-0,0082;0,0094;0,0080;0,015
2,091249;0,0177;0,0088;-0,0056;0,021
2,096171;-0,0097;0,0087;0,0080;0,015
2,101437;0,0038;0,0087;-0,0056;0,011
2,106553;0,0038;-0,0049;0,0080;0,010
2,111455;-0,0091;0,0080;-0,0056;0,013
2,122404;0,0182;-0,0057;-0,0056;0,020
2,123098;0,0183;-0,0057;-0,0056;0,020
2,126246;0,0046;-0,0194;-0,0056;0,021
2,131619;0,0171;-0,0054;0,0080;0,020
2,136266;0,0169;-0,0053;0,0080;0,019
2,141534;0,0033;-0,0189;-0,0056;0,020
2,146590;-0,0102;0,0082;-0,0056;0,014
2,151744;0,0031;0,0076;0,0081;0,012
2,156679;-0,0106;-0,0061;-0,0056;0,013
2,161727;0,0031;-0,0061;-0,0056;0,009
2,167151;0,0030;-0,0061;0,0081;0,011
2,171859;0,0029;0,0070;-0,0055;0,009
2,176934;0,0029;0,0069;-0,0055;0,009
2,183302;-0,0108;-0,0067;0,0081;0,015
2,186621;-0,0108;-0,0067;0,0081;0,015
2,192320;0,0026;-0,0062;-0,0056;0,009
2,197962;0,0162;-0,0062;-0,0192;0,026
2,202082;0,0025;-0,0062;-0,0056;0,009
2,207135;-0,0111;0,0075;-0,0056;0,015
2,212009;0,0023;-0,0057;0,0080;0,010
2,217268;0,0023;-0,0057;0,0217;0,023
2,222258;0,0023;0,0079;0,0080;0,012
2,227226;0,0024;-0,0193;-0,0056;0,020
2,239224;-0,0104;-0,0053;0,0080;0,014
2,239873;-0,0104;0,0083;-0,0056;0,014
2,242965;0,0032;-0,0190;-0,0056;0,020
2,251922;0,0033;0,0083;-0,0056;0,011
2,252515;0,0159;-0,0050;0,0216;0,027
2,257329;0,0021;-0,0049;-0,0056;0,008
2,262313;-0,0115;0,0087;0,0080;0,017
2,268125;-0,0116;-0,0186;-0,0056;0,023
2,272466;-0,0109;-0,0047;-0,0056;0,013
2,277657;0,0028;-0,0047;0,0080;0,010
2,282431;0,0028;-0,0046;-0,0056;0,008
2,287707;0,0028;-0,0183;-0,0056;0,019
2,293054;0,0027;-0,0171;-0,0057;0,018
2,298513;0,0027;-0,0033;-0,0057;0,007
2,302739;-0,0109;-0,0033;-0,0057;0,013
2,307665;0,0164;-0,0033;-0,0057;0,018
2,312824;0,0026;-0,0031;-0,0057;0,007
2,318053;0,0162;-0,0031;-0,0193;0,025
2,322951;0,0025;-0,0167;0,0080;0,019
2,327875;0,0026;-0,0166;-0,0057;0,018
2,334418;0,0152;-0,0028;-0,0057;0,016
2,338227;0,0015;-0,0027;-0,0193;0,020
2,343308;0,0015;0,0108;-0,0057;0,012
2,348189;-0,0121;-0,0028;-0,0193;0,023
2,352965;-0,0113;0,0101;-0,0057;0,016
2,358184;0,0025;-0,0036;-0,0193;0,020
2,363126;0,0025;-0,0035;-0,0057;0,007
2,368130;-0,0111;-0,0035;-0,0057;0,013
2,373238;-0,0103;0,0095;-0,0056;0,015
2,378362;0,0033;-0,0179;0,0080;0,020
2,383424;0,0033;-0,0043;0,0080;0,010
2,388183;0,0033;-0,0180;-0,0056;0,019
2,394236;0,0158;-0,0167;-0,0057;0,024
2,398757;0,0021;0,0107;-0,0057;0,012
2,403522;0,0021;-0,0166;-0,0057;0,018
2,408779;0,0293;-0,0030;0,0079;0,031
2,415376;-0,0108;-0,0027;-0,0057;0,013
2,418601;-0,0107;0,0109;-0,0057;0,016
2,423999;0,0029;0,0109;-0,0057;0,013
2,428515;0,0029;-0,0163;0,0079;0,018
2,433778;0,0027;-0,0153;-0,0057;0,017
2,439032;0,0164;0,0121;-0,0057;0,021
2,443820;-0,0109;0,0121;0,0079;0,018
2,457846;0,0164;0,0122;0,0079;0,022
2,458804;0,0025;-0,0014;-0,0057;0,006
2,459391;-0,0111;-0,0013;-0,0057;0,013
2,467401;0,0025;-0,0013;-0,0193;0,020
2,468359;0,0026;0,0123;-0,0057;0,014
2,473906;-0,0104;-0,0012;0,0079;0,013
2,479188;0,0033;0,0125;0,0215;0,025
2,484021;0,0033;-0,0148;-0,0057;0,016
2,489154;0,0033;-0,0012;-0,0057;0,007
2,494367;0,0031;0,0115;-0,0193;0,023
2,499122;0,0166;-0,0023;0,0079;0,019
2,504134;0,0030;0,0113;-0,0057;0,013
2,509370;-0,0106;-0,0023;-0,0057;0,012
2,515248;0,0028;-0,0022;0,0079;0,009
2,519663;0,0028;0,0114;0,0079;0,014
2,524443;0,0029;-0,0022;-0,0193;0,020
2,529425;0,0029;-0,0158;0,0079;0,018
2,534497;-0,0100;-0,0147;-0,0057;0,019
2,539391;0,0037;-0,0009;0,0079;0,009
2,544614;-0,0099;-0,0009;-0,0057;0,011
2,555141;0,0173;0,0127;-0,0193;0,029
2,555750;0,0034;-0,0008;0,0079;0,009
2,559329;-0,0103;0,0129;0,0079;0,018
2,566935;0,0170;0,0129;-0,0057;0,022
2,569766;0,0033;-0,0007;0,0079;0,009
2,574812;-0,0096;-0,0007;-0,0057;0,011
2,579826;0,0041;-0,0007;-0,0057;0,007
2,584713;0,0041;-0,0007;0,0079;0,009
2,589871;0,0041;0,0129;-0,0057;0,015
2,595239;-0,0090;0,0120;-0,0193;0,024
2,599981;-0,0090;0,0119;0,0079;0,017
2,604966;0,0047;-0,0017;-0,0057;0,008
2,609856;-0,0090;-0,0154;-0,0057;0,019
2,615049;0,0043;-0,0016;-0,0057;0,007
2,620172;0,0179;-0,0152;-0,0057;0,024
2,624779;0,0179;-0,0153;0,0079;0,025
2,629882;-0,0093;-0,0016;-0,0057;0,011
2,635023;0,0040;-0,0015;-0,0057;0,007
2,640224;0,0040;0,0121;-0,0057;0,014
2,645098;0,0039;0,0121;-0,0057;0,014
2,650187;0,0040;0,0122;-0,0057;0,014
2,655258;0,0038;-0,0014;-0,0057;0,007
2,660200;-0,0099;-0,0013;-0,0193;0,022
2,665589;0,0037;0,0123;0,0079;0,015
2,670233;0,0038;0,0123;0,0079;0,015
2,675816;0,0036;0,0115;0,0079;0,014
2,681370;0,0036;-0,0022;-0,0057;0,007
2,685530;0,0035;-0,0023;-0,0057;0,007
2,690440;0,0035;-0,0023;-0,0057;0,007
2,695640;0,0033;-0,0021;-0,0193;0,020
2,700720;0,0032;-0,0022;-0,0057;0,007
2,705729;-0,0104;-0,0022;-0,0057;0,012
2,710943;-0,0104;-0,0022;0,0079;0,013
